Mês	Linha 1	Linha 2	Linha 3	Linha 4	Linha 5	Linha 15
2017-01	1161,0	554,0	1227,0	590,0	218,0	15,0
2017-02	1369,0	657,0	1392,0	685,0	253,0	17,0
2017-03	1450,0	698,0	1473,0	700,0	264,0	17,0
2017-04	1458,0	697,0	1474,0	724,0	264,0	18,0
2017-05	1435,0	690,0	1449,0	715,0	251,0	19,0
2017-06	1383,0	670,0	1405,0	704,0	249,0	19,0
2017-07	1264,0	613,0	1293,0	658,0	228,0	17,0
2017-08	1395,0	682,0	1414,0	712,0	253,0	19,0
2017-09	1442,0	699,0	1454,0	728,0	260,0	20,0
2017-10	1432,0	696,0	1455,0	732,0	264,0	20,0
2017-11	1453,0	704,0	1475,0	743,0	274,0	22,0
2017-12	1335,0	635,0	1364,0	674,0	264,0	20,0
2018-01	1169,0	570,0	1196,0	610,0	226,0	17,0
2018-02	1375,0	679,0	1385,0	722,0	269,0	20,0
2018-03	1452,0	713,0	1467,0	786,0	295,0	20,0
2018-04	1457,0	714,0	1471,0	774,0	319,0	21,0
2018-05	1436,0	706,0	1455,0	789,0	322,0	22,0
2018-06	1396,0	684,0	1423,0	750,0	305,0	22,0
2018-07	1280,0	627,0	1317,0	711,0	278,0	20,0
2018-08	1420,0	701,0	1440,0	797,0	309,0	22,0
2018-09	1442,0	705,0	1457,0	800,0	323,0	23,0
2018-10	1477,0	731,0	1460,0	761,0	424,0	22,0
2018-11	1538,0	769,0	1493,0	735,0	505,0	23,0
2018-12	1425,0	711,0	1399,0	666,0	478,0	32,0
2019-01	1258,0	648,0	1230,0	648,0	456,0	37,0
2019-02	1466,0	768,0	1420,0	765,0	535,0	48,0
2019-03	1519,0	807,0	1470,0	789,0	555,0	61,0
2019-04	1525,0	818,0	1477,0	808,0	582,0	64,0
2019-05	1497,0	797,0	1461,0	809,0	584,0	73,0
2019-06	1435,0	771,0	1411,0	780,0	543,0	77,0
2019-07	1299,0	701,0	1294,0	730,0	523,0	72,0
2019-08	1454,0	785,0	1424,0	810,0	586,0	82,0
2019-09	1443,0	808,0	1447,0	818,0	601,0	90,0
2019-10	1481,0	827,0	1454,0	818,0	610,0	93,0
2019-11	1477,0	830,0	1463,0	836,0	622,0	94,0
2019-12	1330,0	745,0	1332,0	703,0	548,0	87,0
2020-01	1214,0	702,0	1213,0	702,0	535,0	98,0
2020-02	1410,0	826,0	1382,0	763,0	587,0	116,0
2020-03	918,0	515,0	939,0	521,0	419,0	0,0
2020-04	277,0	155,0	323,0	158,0	150,0	0,0
2020-05	318,0	171,0	369,0	175,0	167,0	0,0
2020-06	391,0	206,0	448,0	208,0	200,0	27,0
2020-07	484,0	254,0	546,0	255,0	244,0	44,0
2020-08	553,0	295,0	610,0	290,0	277,0	52,0
2020-09	616,0	329,0	671,0	320,0	306,0	60,0
2020-10	668,0	356,0	722,0	347,0	334,0	64,0
2020-11	703,0	374,0	754,0	365,0	346,0	66,0
2020-12	696,0	364,0	758,0	337,0	337,0	68,0
2021-01	656,0	353,0	706,0	341,0	336,0	66,0
2021-02	692,0	376,0	746,0	360,0	356,0	68,0
2021-03	548,0	308,0	599,0	288,0	299,0	58,0
2021-04	532,0	297,0	578,0	276,0	289,0	57,0
2021-05	625,0	344,0	669,0	324,0	328,0	64,0
2021-06	649,0	360,0	693,0	336,0	341,0	65,0
2021-07	667,0	371,0	711,0	350,0	351,0	73,0
2021-08	724,0	411,0	766,0	386,0	384,0	80,0
2021-09	787,0	442,0	819,0	409,0	399,0	85,0
2021-10	831,0	466,0	858,0	434,81	416,75	88,0
2021-11	894,0	497,0	918,0	469,24	442,99	95,0
2021-12	847,0	469,0	874,0	423,65	405,61	86,0
2022-01	733,0	408,0	758,0	381,81	364,58	79,0
2022-02	860,0	491,0	883,0	450,0	426,0	94,0
2022-03	963,0	560,0	996,0	523,0	469,0	104,0
2022-04	1008,0	588,0	1023,0	550,0	482,0	109,0
2022-05	1003,0	590,0	1010,0	569,18	488,3	109,0
2022-06	967,0	570,0	980,0	559,54	479,0	108,0
2022-07	938,0	548,0	948,0	548,41	466,2	104,0
2022-08	1015,0	605,0	1015,0	599,54	500,75	110,0
2022-09	1035,0	619,0	1035,0	619,43	505,5	114,0
2022-10	1059,0	625,0	1051,0	626,43	512,52	114,0
2022-11	1062,0	629,0	1063,0	613,22	503,71	117,0
2022-12	934,0	530,0	945,0	544,98	448,87	99,0
2023-01	891,0	519,0	887,0	530,98	427,2	99,0
2023-02	1025,0	609,0	1012,0	580,3	473,46	117,0
2023-03	1087,0	649,0	1067,0			120,0
2023-04	1091,0	649,0	1066,0			124,0
