Mês	Linha 1	Linha 2	Linha 3	Linha 4	Linha 5	Linha 15
2017-01	430,0	165,0	451,0	166,0	65,0	2,0
2017-02	500,0	217,0	540,0	252,0	73,0	2,0
2017-03	444,0	203,0	481,0	199,0	61,0	2,0
2017-04	431,0	190,0	479,0	134,0	73,0	2,0
2017-05	421,0	181,0	469,0	140,0	64,0	2,0
2017-06	455,0	186,0	520,0	201,0	75,0	2,0
2017-07	451,0	200,0	499,0	127,0	62,0	2,0
2017-08	409,0	179,0	452,0	76,0	62,0	2,0
2017-09	450,0	204,0	493,0	114,0	67,0	2,0
2017-10	422,0	179,0	485,0	126,0	57,0	2,0
2017-11	460,0	187,0	532,0	148,0	77,0	2,0
2017-12	468,0	205,0	516,0	158,0	88,0	3,0
2018-01	402,0	167,0	439,0	152,0	55,0	3,0
2018-02	490,0	221,0	555,0	254,0	72,0	0,0
2018-03	439,0	199,0	501,0	222,0	64,0	0,0
2018-04	435,0	188,0	482,0	207,0	76,0	3,0
2018-05	488,0	218,0	559,0	259,0	95,0	4,0
2018-06	466,0	215,0	527,0	243,0	69,0	3,0
2018-07	462,0	201,0	518,0	235,0	88,0	1,0
2018-08	446,0	194,0	504,0	229,0	85,0	2,0
2018-09	465,0	202,0	515,0	111,0	93,0	2,0
2018-10	482,0	204,0	505,0	118,0	131,0	4,0
2018-11	499,0	216,0	523,0	213,0	156,0	4,0
2018-12	543,0	237,0	573,0	233,0	178,0	9,0
2019-01	454,0	203,0	475,0	203,0	150,0	11,0
2019-02	495,0	230,0	526,0	273,0	163,0	9,0
2019-03	493,0	230,0	556,0	268,0	167,0	14,0
2019-04	459,0	216,0	492,0	227,0	166,0	14,0
2019-05	471,0	219,0	495,0	257,0	143,0	18,0
2019-06	458,0	229,0	458,0	247,0	164,0	20,0
2019-07	462,0	218,0	481,0	222,0	163,0	20,0
2019-08	439,0	209,0	468,0	223,0	159,0	20,0
2019-09	481,0	234,0	495,0	234,0	177,0	25,0
2019-10	538,0	256,0	520,0	255,0	190,0	24,0
2019-11	491,0	240,0	506,0	238,0	182,0	24,0
2019-12	537,0	260,0	557,0	261,0	119,0	17,0
2020-01	428,0	208,0	428,0	202,0	167,0	21,0
2020-02	494,0	257,0	528,0	310,0	196,0	27,0
2020-03	302,0	148,0	325,0	151,0	126,0	0,0
2020-04	102,0	49,0	117,0	48,0	51,0	0,0
2020-05	111,0	53,0	127,0	49,0	56,0	0,0
2020-06	128,0	61,0	152,0	60,0	65,0	9,0
2020-07	155,0	73,0	182,0	71,0	78,0	13,0
2020-08	174,0	83,0	202,0	81,0	85,0	16,0
2020-09	207,0	97,0	233,0	95,0	98,0	20,0
2020-10	224,0	107,0	252,0	107,0	105,0	21,0
2020-11	259,0	124,0	289,0	122,0	116,0	24,0
2020-12	252,0	114,0	283,0	114,0	118,0	23,0
2021-01	224,0	102,0	241,0	101,0	104,0	21,0
2021-02	231,0	110,0	256,0	110,0	112,0	21,0
2021-03	149,0	73,0	172,0	69,0	77,0	16,0
2021-04	163,0	83,0	184,0	77,0	84,0	17,0
2021-05	213,0	106,0	233,0	103,0	105,0	21,0
2021-06	228,0	115,0	230,0	114,0	114,0	23,0
2021-07	240,0	121,0	246,0	119,0	118,0	18,0
2021-08	252,0	130,0	259,0	129,0	124,0	20,0
2021-09	292,0	152,0	289,0	149,0	137,0	23,0
2021-10	285,0	143,0	299,0	146,87	130,84	18,0
2021-11	352,0	180,0	367,0	188,66	160,61	31,0
2021-12	363,0	181,0	381,0	183,1	165,94	27,0
2022-01	275,0	135,0	289,0	135,96	123,9	25,0
2022-02	303,0	168,0	346,0	180,0	145,0	31,0
2022-03	304,0	169,0	345,0	172,0	151,0	32,0
2022-04	348,0	179,0	375,0	165,0	155,0	34,0
2022-05	358,0	181,0	393,0	200,28	159,75	35,0
2022-06	364,0	199,0	392,0	223,49	155,88	34,0
2022-07	380,0	191,0	379,0	203,91	164,46	29,0
2022-08	344,0	178,0	372,0	192,89	156,23	28,0
2022-09	346,0	179,0	358,0	205,33	153,91	34,0
2022-10	374,0	200,0	379,0	224,48	176,27	35,0
2022-11	381,0	194,0	396,0	205,72	169,51	37,0
2022-12	417,0	200,0	431,0	187,76	160,11	32,0
2023-01	363,0	180,0	372,0	186,86	139,44	34,0
2023-02	375,0	196,0	395,0	224,68	161,31	36,0
2023-03	384,0	201,0	387,0			35,0
