Mês	Linha 1	Linha 2	Linha 3	Linha 4	Linha 5	Linha 15
2017-01	704,0	259,0	732,0	301,0	136,0	6,0
2017-02	824,0	329,0	865,0	444,0	152,0	7,0
2017-03	816,0	321,0	875,0	392,0	153,0	7,0
2017-04	766,0	289,0	824,0	329,0	145,0	6,0
2017-05	839,0	324,0	903,0	370,0	150,0	7,0
2017-06	796,0	301,0	856,0	345,0	150,0	7,0
2017-07	779,0	293,0	842,0	341,0	145,0	7,0
2017-08	789,0	306,0	855,0	347,0	147,0	7,0
2017-09	781,0	300,0	830,0	342,0	148,0	7,0
2017-10	788,0	301,0	835,0	347,0	149,0	7,0
2017-11	794,0	298,0	860,0	348,0	155,0	8,0
2017-12	802,0	292,0	878,0	345,0	167,0	8,0
2018-01	701,0	276,0	748,0	313,0	139,0	6,0
2018-02	860,0	353,0	911,0	517,0	161,0	10,0
2018-03	777,0	305,0	823,0	372,0	160,0	5,0
2018-04	828,0	319,0	883,0	370,0	170,0	8,0
2018-05	834,0	336,0	900,0	409,0	184,0	7,0
2018-06	778,0	301,0	842,0	379,0	172,0	3,0
2018-07	781,0	297,0	829,0	376,0	171,0	3,0
2018-08	832,0	318,0	884,0	397,0	176,0	0,0
2018-09	822,0	321,0	870,0	411,0	182,0	3,0
2018-10	836,0	326,0	854,0	362,0	227,0	0,0
2018-11	843,0	326,0	864,0	354,0	268,0	6,0
2018-12	890,0	342,0	933,0	373,0	301,0	14,0
2019-01	721,0	292,0	736,0	313,0	251,0	17,0
2019-02	851,0	360,0	864,0	437,0	293,0	21,0
2019-03	855,0	363,0	890,0	438,0	297,0	25,0
2019-04	816,0	347,0	861,0	387,0	304,0	27,0
2019-05	848,0	358,0	893,0	393,0	309,0	31,0
2019-06	813,0	343,0	856,0	398,0	300,0	33,0
2019-07	799,0	337,0	830,0	378,0	295,0	25,0
2019-08	808,0	345,0	837,0	394,0	312,0	30,0
2019-09	817,0	357,0	850,0	385,0	312,0	38,0
2019-10	914,0	394,0	909,0	386,0	325,0	47,0
2019-11	873,0	379,0	892,0	392,0	316,0	23,0
2019-12	887,0	375,0	924,0	400,0	217,0	29,0
2020-01	705,0	308,0	721,0	335,0	279,0	35,0
2020-02	856,0	390,0	860,0	441,0	330,0	60,0
2020-03	484,0	217,0	511,0	232,0	208,0	0,0
2020-04	164,0	78,0	189,0	83,0	89,0	0,0
2020-05	188,0	86,0	215,0	91,0	99,0	0,0
2020-06	239,0	106,0	272,0	113,0	121,0	15,0
2020-07	322,0	137,0	359,0	149,0	156,0	26,0
2020-08	363,0	158,0	398,0	168,0	172,0	32,0
2020-09	419,0	181,0	453,0	193,0	196,0	38,0
2020-10	453,0	196,0	482,0	208,0	208,0	39,0
2020-11	503,0	217,0	538,0	234,0	233,0	42,0
2020-12	467,0	197,0	512,0	213,0	222,0	42,0
2021-01	376,0	166,0	401,0	172,0	183,0	34,0
2021-02	436,0	196,0	463,0	206,0	214,0	39,0
2021-03	282,0	136,0	310,0	135,0	153,0	30,0
2021-04	299,0	143,0	323,0	141,0	160,0	31,0
2021-05	425,0	197,0	451,0	193,0	200,0	39,0
2021-06	448,0	210,0	471,0	216,0	222,0	42,0
2021-07	457,0	211,0	475,0	222,0	221,0	33,0
2021-08	480,0	221,0	495,0	231,0	235,0	40,0
2021-09	529,0	244,0	535,0	252,0	251,0	49,0
2021-10	570,0	259,0	574,0	272,26	263,12	41,0
2021-11	626,0	280,0	639,0	300,21	285,38	54,0
2021-12	699,0	310,0	717,0	272,63	261,28	61,0
2022-01	499,0	231,0	508,0	209,48	202,18	47,0
2022-02	587,0	271,0	592,0	289,0	270,0	56,0
2022-03	622,0	290,0	634,0	322,0	288,0	59,0
2022-04	612,0	288,0	618,0	299,0	276,0	58,0
2022-05	670,0	311,0	673,0	337,49	299,87	63,0
2022-06	623,0	291,0	635,0	322,67	283,96	59,0
2022-07	646,0	294,0	638,0	328,38	285,91	46,0
2022-08	645,0	303,0	640,0	327,55	292,18	60,0
2022-09	664,0	315,0	664,0	341,23	298,03	58,0
2022-10	673,0	317,0	665,0	350,85	301,32	54,0
2022-11	688,0	318,0	695,0	357,0	314,49	57,0
2022-12	734,0	327,0	784,0	299,08	264,37	48,0
2023-01	623,0	285,0	603,0	311,82	271,01	57,0
2023-02	660,0	311,0	657,0	387,56	289,52	61,0
2023-03	692,0	325,0	676,0	389,01	305,23	65,0
2023-04	639,0	299,0	627,0	338,3	282,42	63,0
2023-05	701,0	332,0	685,0	383,42	306,5	72,0
2023-06	689,0	321,0	691,0	361,31	301,74	48,0
2023-07	684,0	317,0	667,0	353,48	295,21	44,0
2023-08	686,0	329,0	669,0	363,29	308,58	66,0
