Mês	Linha 1	Linha 2	Linha 3	Linha 4	Linha 5	Linha 15
2017-01	1278,0	617,0	1343,0	654,0	236,0	17,0
2017-02	1441,0	693,0	1453,0	706,0	261,0	22,0
2017-03	1484,0	730,0	1509,0	749,0	273,0	19,0
2017-04	1503,0	721,0	1526,0	763,0	276,0	23,0
2017-05	1475,0	707,0	1494,0	738,0	260,0	20,0
2017-06	1485,0	704,0	1471,0	740,0	265,0	20,0
2017-07	1322,0	637,0	1361,0	694,0	242,0	18,0
2017-08	1431,0	703,0	1449,0	736,0	262,0	20,0
2017-09	1498,0	716,0	1476,0	760,0	274,0	20,0
2017-10	1506,0	718,0	1532,0	772,0	280,0	21,0
2017-11	1502,0	721,0	1517,0	768,0	285,0	24,0
2017-12	1486,0	713,0	1499,0	762,0	290,0	23,0
2018-01	1289,0	639,0	1309,0	696,0	249,0	19,0
2018-02	1448,0	719,0	1457,0	772,0	288,0	22,0
2018-03	1485,0	742,0	1505,0	836,0	305,0	23,0
2018-04	1493,0	731,0	1530,0	808,0	331,0	24,0
2018-05	1488,0	722,0	1508,0	810,0	335,0	24,0
2018-06	1489,0	722,0	1508,0	818,0	327,0	23,0
2018-07	1346,0	661,0	1369,0	744,0	284,0	21,0
2018-08	1466,0	723,0	1483,0	827,0	322,0	23,0
2018-09	1521,0	733,0	1544,0	841,0	345,0	23,0
2018-10	1524,0	771,0	1527,0	828,0	502,0	25,0
2018-11	1611,0	804,0	1571,0	802,0	552,0	25,0
2018-12	1585,0	786,0	1552,0	795,0	559,0	37,0
2019-01	1362,0	724,0	1332,0	713,0	502,0	46,0
2019-02	1544,0	808,0	1492,0	808,0	565,0	54,0
2019-03	1550,0	838,0	1507,0	835,0	585,0	72,0
2019-04	1558,0	832,0	1511,0	843,0	607,0	66,0
2019-05	1548,0	849,0	1507,0	848,0	606,0	77,0
2019-06	1508,0	801,0	1477,0	827,0	583,0	79,0
2019-07	1331,0	729,0	1329,0	760,0	546,0	76,0
2019-08	1497,0	809,0	1458,0	838,0	600,0	88,0
2019-09	1491,0	829,0	1504,0	855,0	629,0	93,0
2019-10	1539,0	847,0	1513,0	854,0	625,0	95,0
2019-11	1532,0	853,0	1513,0	872,0	644,0	96,0
2019-12	1500,0	844,0	1479,0	859,0	649,0	96,0
2020-01	1344,0	775,0	1319,0	777,0	580,0	111,0
2020-02	1483,0	870,0	1451,0	853,0	650,0	122,0
2020-03	1493,0	839,0	1478,0	861,0	652,0	0,0
2020-04	317,0	168,0	362,0	174,0	166,0	0,0
2020-05	333,0	178,0	385,0	182,0	175,0	0,0
2020-06	438,0	233,0	494,0	230,0	221,0	39,0
2020-07	527,0	281,0	593,0	276,0	264,0	49,0
2020-08	596,0	314,0	660,0	312,0	299,0	57,0
2020-09	643,0	344,0	698,0	338,0	323,0	63,0
2020-10	698,0	371,0	759,0	368,0	348,0	68,0
2020-11	736,0	387,0	798,0	385,0	372,0	70,0
2020-12	757,0	394,0	839,0	392,0	385,0	73,0
2021-01	695,0	373,0	750,0	365,0	360,0	70,0
2021-02	714,0	383,0	772,0	375,0	370,0	72,0
2021-03	721,0	386,0	779,0	373,0	377,0	69,0
2021-04	613,0	338,0	664,0	317,0	327,0	63,0
2021-05	647,0	358,0	695,0	346,0	349,0	66,0
2021-06	676,0	371,0	725,0	357,0	359,0	67,0
2021-07	703,0	388,0	747,0	373,0	374,0	76,0
2021-08	754,0	432,0	801,0	405,0	400,0	83,0
2021-09	812,0	453,0	868,0	431,0	412,0	89,0
2021-10	880,0	488,0	907,0	478,42	440,64	94,0
2021-11	913,0	512,0	939,0	497,47	459,23	99,0
2021-12	961,0	535,0	994,0	514,81	479,79	100,0
2022-01	791,0	444,0	824,0	420,11	397,23	86,0
2022-02	903,0	519,0	921,0	486,0	450,0	102,0
2022-03	998,0	588,0	1048,0	575,0	500,0	109,0
2022-04	1044,0	608,0	1048,0	591,0	500,0	114,0
2022-05	1036,0	615,0	1045,0	606,09	507,22	111,0
2022-06	1011,0	591,0	1022,0	587,65	541,79	115,0
2022-07	1005,0	570,0	998,0	586,31	484,27	108,0
2022-08	1057,0	638,0	1060,0	640,13	519,06	117,0
2022-09	1078,0	641,0	1077,0	653,67	517,4	118,0
2022-10	1116,0	655,0	1097,0	660,21	533,04	118,0
2022-11	1107,0	657,0	1110,0	659,99	538,67	124,0
2022-12	1142,0	657,0	1145,0	693,28	550,56	121,0
2023-01	982,0	588,0	978,0	594,24	468,66	114,0
2023-02	1075,0	643,0	1065,0	639,51	516,8	125,0
2023-03	1120,0	678,0	1096,0	711,99	535,97	128,0
2023-04	1130,0	671,0	1157,0	701,71	527,25	127,0
2023-05	1117,0	670,0	1085,0	682,41	538,54	129,0
2023-06	1152,0	676,0	1122,0	707,89	557,02	126,0
2023-07	1037,0	624,0	1012,0	656,52	520,63	120,0
2023-08	1133,0	703,0	1111,0	733,58	571,95	131,0
2023-09	1174,0	704,0	1130,0	709,14	581,58	134,0
2023-10	1183,0	718,0	1153,0	713,7	593,43	135,0
2023-11	1183,0	723,0	1136,0	744,08	607,23	135,0
2023-12	1183,0	715,0	1146,0	731,29	616,3	132,0
2024-01	1043,0	643,0	1060,0	642,59	540,72	120,0
2024-02	1123,0	708,0	1088,0	697,67	575,67	133,0
